Date : 2025-12-26 22:55:52
Directory : /home/ashishm1/ecom-project
Total : 285 files,  50881 codes, 3872 comments, 3090 blanks, all 57843 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/ashishm1/ecom-project/components/favourites/heartAnimated.tsx              | TypeScript JSX     |        186 |          0 |          7 |        193 |
| /home/ashishm1/ecom-project/components/footer/Footer.tsx                         | TypeScript JSX     |        140 |        283 |         60 |        483 |
| /home/ashishm1/ecom-project/components/giobal/Container.tsx                      | TypeScript JSX     |         15 |          0 |          3 |         18 |
| /home/ashishm1/ecom-project/components/highlighter.tsx                           | TypeScript JSX     |         32 |          2 |          7 |         41 |
| /home/ashishm1/ecom-project/components/home/TopEarbudsSectionClient.tsx          | TypeScript JSX     |        104 |         21 |         15 |        140 |
| /home/ashishm1/ecom-project/components/home/TopEarbudsSectionServer.tsx          | TypeScript JSX     |         15 |          4 |          4 |         23 |
| /home/ashishm1/ecom-project/components/home/TopSmartphoneServer.tsx              | TypeScript JSX     |          6 |          0 |          3 |          9 |
| /home/ashishm1/ecom-project/components/home/TopsmartphoneClient.tsx              | TypeScript JSX     |         88 |          4 |         11 |        103 |
| /home/ashishm1/ecom-project/components/navbar/CartItems.tsx                      | TypeScript JSX     |         36 |          0 |          6 |         42 |
| /home/ashishm1/ecom-project/components/navbar/CategoriesBar.tsx                  | TypeScript JSX     |         65 |         70 |         19 |        154 |
